alias_key,alias_display,code,iso_a3,basis,source,confidence,override
djulfa,Djulfa,AZE033,AZE,Djulfa is an older alternative English romanization of Julfa (Culfa district) used in some historical and geographical English-language sources.,pretraining,medium,False
kelbajar,Kelbajar,AZE034,AZE,Kelbajar is a common alternative English romanization of Kalbajar used in many English-language sources and international reporting.,pretraining,high,False
stepanakert,Stepanakert,AZE037,AZE,"Khankendi is the WB/Azerbaijani canonical name; Stepanakert is the Armenian and widely used international English name for the same city, commonly found in English-language journalism and academia.",pretraining,high,False
khojali,Khojali,AZE039,AZE,Khojali is an alternative English romanization of Khojaly found in some English-language sources and international reporting.,pretraining,medium,False
nakhchivan autonomous republic,Nakhchivan Autonomous Republic,AZE048,AZE,Nakhchivan is an autonomous republic exclave of Azerbaijan and is frequently referred to by this full official English name in geopolitical contexts.,pretraining,high,False
nakhichevan,Nakhichevan,AZE048,AZE,"Older English romanization of Nakhchivan derived from the Russian 'Nakhichevan', still found in some English-language sources.",pretraining,medium,False
naxcivan,Naxcivan,AZE048,AZE,"Alternative romanization of Nakhchivan used in some transliteration systems, appearing in academic and geographic literature.",pretraining,medium,False
sheki,Sheki,AZE059,AZE,Alternative common English spelling of the Azerbaijani district and city of Shaki; 'Sheki' is widely used in English-language travel and geographic sources.,pretraining,high,False
shamakha,Shamakha,AZE060,AZE,"Alternative English romanization of Shamakhy, derived from the Russian 'Shemakha', commonly used in historical and some contemporary English sources.",pretraining,high,False
shemakha,Shemakha,AZE060,AZE,"Russian-derived English transliteration of Shamakhy, found frequently in older English-language geographic and historical texts.",pretraining,high,False
sumgayit,Sumgayit,AZE066,AZE,Sumgayit is the Azerbaijani romanization and a common alternative English spelling for the city/district known in Russian-derived transliteration as Sumgait.,pretraining,high,False
yevlax,Yevlax,AZE071,AZE,"Yevlax is an alternative romanization of the Azerbaijani name for this district, sometimes used in English sources alongside Yevlakh.",pretraining,medium,False
zakatala,Zakatala,AZE072,AZE,Zakatala is the Russian-derived romanization commonly used in older English texts and maps for the district known in Azerbaijani as Zagatala.,pretraining,high,False
bujumbura city,Bujumbura City,BDI002,BDI,English-language sources often use 'Bujumbura City' to refer to the urban capital district distinct from the rural Bujumbura province.,pretraining,medium,False
bujumbura mairie,Bujumbura Mairie,BDI002,BDI,The capital city district is commonly referred to as 'Bujumbura Mairie' in English-language sources to distinguish it from the surrounding Bujumbura province.,pretraining,high,False
brussels capital region,Brussels Capital Region,BEL001,BEL,The canonical name is in French/Dutch and the standard English name for this region is Brussels Capital Region.,pretraining,high,False
brussels-capital region,Brussels-Capital Region,BEL001,BEL,Hyphenated form commonly used in English-language official and academic sources.,pretraining,high,False
wallonia,Wallonia,BEL002,BEL,"Common English exonym for the Walloon Region of Belgium, widely used in English-language press and academia.",pretraining,high,False
walloon region,Walloon Region,BEL002,BEL,The canonical French name 'Region wallonne' translates directly to 'Walloon Region' in English.,pretraining,high,False
flanders,Flanders,BEL003,BEL,Very common English exonym for the Flemish Region (Vlaams Gewest) of Belgium.,pretraining,high,False
flemish region,Flemish Region,BEL003,BEL,"Standard English translation of the Dutch 'Vlaams Gewest', used in official EU and English-language sources.",pretraining,high,False
centre-east,Centre-East,BFA004,BFA,"English translation of the French directional compound 'Centre-est', used in English-language reports on Burkina Faso.",pretraining,high,False
centre-north,Centre-North,BFA005,BFA,"English translation of the French 'Centre-nord', commonly rendered this way in English administrative and humanitarian documents.",pretraining,high,False
centre-west,Centre-West,BFA006,BFA,"English translation of the French 'Centre-ouest', used in English-language references to this Burkinabe region.",pretraining,high,False
centre-south,Centre-South,BFA007,BFA,"English translation of the French 'Centre-sud', used in English-language administrative and development documents.",pretraining,high,False
upper basins,Upper Basins,BFA009,BFA,"English translation of the French 'Hauts-Bassins' (hauts = upper/high, bassins = basins), used occasionally in English-language texts.",pretraining,medium,False
central plateau,Central Plateau,BFA011,BFA,"English translation of 'Plateau Central', with word order reversed per standard English adjective placement, used in English-language references.",pretraining,high,False
south-west,South-West,BFA013,BFA,"Hyphenated English translation of the French 'Sud-ouest', an alternate spelling used in some English documents.",pretraining,high,False
chittagong,Chittagong,BGD002,BGD,"Chittagong is the widely used English name for the Chattogram division, the older anglicized spelling still commonly used in English-language sources.",pretraining,high,False
rajshahi division,Rajshahi Division,BGD006,BGD,Rajshahi Division is the full formal English name used to distinguish the administrative division from Rajshahi city.,pretraining,medium,False
yambol,Yambol,BGR006,BGR,The WB canonical name 'Jambol' uses a J-based romanization; 'Yambol' is the standard English spelling used in most English-language sources.,pretraining,high,False
kyustendil,Kyustendil,BGR008,BGR,The WB canonical name 'Kustendil' is an older romanization; 'Kyustendil' is the modern standard English spelling used in most contemporary English sources.,pretraining,high,False
rousse,Rousse,BGR016,BGR,"The Bulgarian city and province of Ruse is also commonly spelled 'Rousse' in English-language sources, particularly older or French-influenced texts.",pretraining,medium,False
smolyan,Smolyan,BGR020,BGR,The WB canonical name 'Smoljan' uses a J-based romanization; 'Smolyan' is the standard modern English spelling used in most English-language sources.,pretraining,high,False
sofia city,Sofia City,BGR022,BGR,The province surrounding the capital is commonly referred to in English as 'Sofia City' or 'Sofia City Province' to distinguish it from the surrounding Sofia Province.,pretraining,high,False
sofia city province,Sofia City Province,BGR022,BGR,English sources frequently use 'Sofia City Province' to distinguish the capital administrative unit from the surrounding Sofia Province.,pretraining,high,False
tarnovo,Tarnovo,BGR026,BGR,"Shortened informal English reference used for the region, dropping the 'Veliko' qualifier.",pretraining,medium,False
veliko turnovo,Veliko Turnovo,BGR026,BGR,"Alternative English romanization of the Bulgarian name, with 'u' instead of 'a' in the second syllable, commonly seen in older or alternative transliterations.",pretraining,medium,False
vratsa,Vratsa,BGR028,BGR,The WB canonical name 'Vratca' uses a less common romanization; 'Vratsa' is the standard English-language spelling used in most English sources and maps.,pretraining,high,False
central governorate,Central Governorate,BHR001,BHR,Central Region is the WB name for what is officially called the Central Governorate in English administrative usage.,pretraining,high,False
capital governorate,Capital Governorate,BHR007,BHR,Manama (BHR007) is the Capital Governorate of Bahrain; some sources refer to it by this administrative title rather than the city name.,pretraining,medium,False
muharraq governorate,Muharraq Governorate,BHR008,BHR,Muharraq is commonly referred to as Muharraq Governorate in English-language administrative sources.,pretraining,medium,False
northern governorate,Northern Governorate,BHR009,BHR,Northern Region is the WB name for what is officially called the Northern Governorate in English administrative usage.,pretraining,high,False
southern governorate,Southern Governorate,BHR012,BHR,Western Region in the WB data corresponds to what is sometimes labeled the Southern Governorate; however this mapping is uncertain so medium confidence.,pretraining,medium,False
federation of bih,Federation of BiH,BIH001,BIH,Common shorthand English reference used in news and policy documents for the Federation entity.,pretraining,medium,False
serb republic,Serb Republic,BIH002,BIH,An English translation of Republika Srpska used in some journalistic and academic sources.,pretraining,medium,False
homyel,Homyel,BLR002,BLR,"Homyel is an alternative romanization of the Belarusian name for this region, sometimes used in English sources alongside the Russian-derived 'Gomel'.",pretraining,medium,False
hrodna,Hrodna,BLR003,BLR,"Hrodna is the Belarusian romanization of this region, used as an alternative to the Russian-derived 'Grodno' in English sources.",pretraining,medium,False
mahilyow,Mahilyow,BLR006,BLR,"Mahilyow is the Belarusian romanization of this region, used as an alternative to the Russian-derived 'Mogilev' in English sources.",pretraining,medium,False
vitsebsk,Vitsebsk,BLR007,BLR,"Vitsebsk is the Belarusian romanization of this region, used as an alternative to the Russian-derived 'Vitebsk' in English sources.",pretraining,medium,False
brasilia,Brasilia,BRA007,BRA,Brazil's Federal District is commonly referred to by the name of its capital city Brasilia in English-language contexts.,pretraining,medium,False
federal district,Federal District,BRA007,BRA,Distrito Federal is the Portuguese name; 'Federal District' is the standard English translation used widely in English-language sources for Brazil's capital district.,pretraining,high,False
mongar,Mongar,BTN007,BTN,Monggar is the WB spelling but 'Mongar' is a widely used alternate romanization for this Bhutanese district in English sources.,pretraining,high,False
tashigang,Tashigang,BTN015,BTN,Trashigang is the WB canonical form but 'Tashigang' is a common alternate English romanization used in older and some current sources.,pretraining,medium,False
tashiyangtse,Tashiyangtse,BTN016,BTN,"An alternate romanization of Trashiyangtse using 'Tashi' instead of 'Trashi', found in some English-language sources.",pretraining,medium,False
trashi yangtse,Trashi Yangtse,BTN016,BTN,"Trashiyangtse is written as one word in the WB canonical form, but 'Trashi Yangtse' (two words) is a common alternate spelling in English sources.",pretraining,medium,False
wangdi phodrang,Wangdi Phodrang,BTN019,BTN,"Wangduephodrang is the WB canonical form but 'Wangdi Phodrang' is a shorter, widely used English alternate name for this district.",pretraining,high,False
wangdue phodrang,Wangdue Phodrang,BTN019,BTN,Wangduephodrang written as two words is a common English-language rendering of this Bhutanese district name.,pretraining,high,False
ghanzi district,Ghanzi District,BWA003,BWA,The region is commonly referred to with the 'District' suffix in English-language sources about Botswana.,pretraining,medium,False
kalahari,Kalahari,BWA004,BWA,"Kgalagadi District is commonly known in English as the Kalahari region, named after the Kalahari Desert that dominates it.",pretraining,medium,False
equator,Equator,CAF002,CAF,"Equateur is the French word for Equator, and English-language sources sometimes refer to this region by the English translation.",pretraining,medium,False
appenzell outer rhodes,Appenzell Outer Rhodes,CHE002,CHE,"The German 'Ausser-rhoden' translates to 'Outer Rhodes' in English, used in anglophone sources.",pretraining,high,False
appenzell inner rhodes,Appenzell Inner Rhodes,CHE003,CHE,"The German 'Inner-rhoden' translates to 'Inner Rhodes' in English, used in anglophone sources.",pretraining,high,False
basel land,Basel Land,CHE004,CHE,Shortened form commonly used in English-language references for Basel-Landschaft.,pretraining,high,False
basel-country,Basel-Country,CHE004,CHE,"The German 'Landschaft' means 'countryside/land', and 'Basel-Country' is an English exonym used to distinguish this canton from the city.",pretraining,medium,False
basel city,Basel City,CHE005,CHE,"English translation of 'Basel-Stadt', used to distinguish the city-canton from Basel-Landschaft.",pretraining,high,False
freiburg,Freiburg,CHE007,CHE,"The German name for this bilingual canton; the WB canonical form uses the French 'Fribourg', but English sources sometimes use the German 'Freiburg'.",pretraining,medium,False
geneva,Geneva,CHE008,CHE,"The standard English exonym for the French 'Geneve', widely used in English-language contexts.",pretraining,high,False
grisons,Grisons,CHE010,CHE,"The French and common English exonym for the canton of Graubünden, used widely in anglophone sources.",pretraining,high,False
lucerne,Lucerne,CHE012,CHE,"The standard English exonym for the German 'Luzern', widely used in English-language contexts.",pretraining,high,False
saint gallen,Saint Gallen,CHE016,CHE,"English spelling uses 'Saint' rather than the German 'Sankt', commonly seen in English-language references.",pretraining,high,False
st gallen,St Gallen,CHE016,CHE,"Abbreviated English form without period, also widely used in English-language sources.",pretraining,high,False
st. gallen,St. Gallen,CHE016,CHE,Abbreviated English form 'St. Gallen' is the most common English spelling used internationally.,pretraining,high,False
wallis,Wallis,CHE023,CHE,Wallis is the German co-official name for the bilingual canton canonically listed as Valais (French); both names appear regularly in English-language sources about Switzerland.,pretraining,high,False
aysen,Aysén,CHL001,CHL,"The region is commonly referred to in English as Aysén or Aysen, dropping the full honorary name of General Carlos Ibáñez del Campo.",pretraining,high,False
aysen region,Aysén Region,CHL001,CHL,English-language sources commonly refer to this region simply as the Aysén Region.,pretraining,high,False
o'higgins,O'Higgins,CHL008,CHL,"The region is widely known in English simply as O'Higgins, omitting the full official name.",pretraining,high,False
o'higgins region,O'Higgins Region,CHL008,CHL,"English-language sources consistently shorten the full name to O'Higgins Region, dropping the honorary title.",pretraining,high,False
metropolitan region,Metropolitan Region,CHL013,CHL,The Región Metropolitana is universally referred to in English as the Metropolitan Region.,pretraining,high,False
santiago metropolitan region,Santiago Metropolitan Region,CHL013,CHL,English sources often specify 'Santiago Metropolitan Region' to distinguish it from other metropolitan regions in the world.,pretraining,high,False
canton province,Canton Province,CHN006,CHN,"Guangdong was historically known in English as Canton or Canton Province, a name still encountered in some English-language sources.",pretraining,medium,False
guangxi zhuang autonomous region,Guangxi Zhuang Autonomous Region,CHN007,CHN,"The standard English translation of 'Guangxi Zhuangzu Zizhiqu' is the Guangxi Zhuang Autonomous Region, used in official English-language documents.",pretraining,high,False
ningxia hui autonomous region,Ningxia Hui Autonomous Region,CHN020,CHN,"The standard English translation of 'Ningxia Huizu Zizhiqu' is the Ningxia Hui Autonomous Region, used in official English-language documents.",pretraining,high,False
szechuan,Szechuan,CHN026,CHN,"Alternative romanization of Sichuan widely used in English, especially in culinary contexts (Szechuan cuisine).",pretraining,high,False
szechwan,Szechwan,CHN026,CHN,Older Wade-Giles romanization of Sichuan that appears in many English-language sources and maps.,pretraining,medium,False
xinjiang uyghur autonomous region,Xinjiang Uyghur Autonomous Region,CHN028,CHN,Full English translation of the administrative name with standard English spelling 'Uyghur' (vs WB 'Uygur').,pretraining,high,False
tibet,Tibet,CHN029,CHN,The canonical name 'Xizang Zizhiqu' is the Pinyin/Chinese administrative name; 'Tibet' is the well-established English exonym for this autonomous region.,pretraining,high,False
tibet autonomous region,Tibet Autonomous Region,CHN029,CHN,"The standard English full name translating 'Xizang Zizhiqu', widely used in English-language official and media contexts.",pretraining,high,False
mountains,Mountains,CIV031,CIV,Montagnes is the French word for mountains and some English sources translate the district name as Mountains region.,pretraining,medium,False
savannas,Savannas,CIV033,CIV,Savanes is the French plural for savannas and English-language texts sometimes render the district as Savannas.,pretraining,medium,False
bandama valley,Bandama Valley,CIV034,CIV,Some English-language sources translate Vallée du Bandama as Bandama Valley.,pretraining,medium,False
far north,Far North,CMR004,CMR,Extrême-Nord is the French name; 'Far North' is the standard English name used in official Cameroonian government documents and international sources.,pretraining,high,False
north kivu,North Kivu,COD009,COD,"Nord-Kivu is French; 'North Kivu' is the standard English exonym widely used in UN, media, and humanitarian reporting.",pretraining,high,False
south kivu,South Kivu,COD011,COD,"Sud-Kivu is French; 'South Kivu' is the standard English exonym widely used in UN, media, and humanitarian reporting.",pretraining,high,False
equator province,Equator Province,COD013,COD,Some English sources translate Équateur as 'Equator Province' due to its location straddling the equator.,pretraining,medium,False
upper katanga,Upper Katanga,COD014,COD,Haut-Katanga translates directly to 'Upper Katanga' in English and is widely used in international reporting.,pretraining,high,False
upper lomami,Upper Lomami,COD015,COD,Haut-Lomami translates directly to 'Upper Lomami' in English.,pretraining,high,False
upper uele,Upper Uele,COD016,COD,Haut-Uélé translates directly to 'Upper Uele' in English; used in UN and humanitarian reporting.,pretraining,high,False
central kasai,Central Kasai,COD019,COD,Kasaï-Central translates directly to 'Central Kasai' in English; used in international sources.,pretraining,high,False
eastern kasai,Eastern Kasai,COD020,COD,Kasaï-Oriental translates to 'Eastern Kasai' in English; used in international reporting.,pretraining,high,False
pointe-noire,Pointe-Noire,COG010,COG,"Point-Noire is the WB canonical spelling but the standard French and widely used English spelling is Pointe-Noire, which is the form used in most English-language sources.",pretraining,high,False
bogota dc,Bogota DC,COL006,COL,"English-language sources frequently refer to the capital district as 'Bogota DC', dropping the accent and the comma.",pretraining,medium,False
cauca department,Cauca Department,COL012,COL,English sources often append 'Department' to distinguish the department of Cauca from the Cauca River.,pretraining,medium,False
huila department,Huila Department,COL019,COL,"English sources often refer to Colombian departments with the word 'Department' appended, e.g. 'Huila Department'.",pretraining,medium,False
la guajira department,La Guajira Department,COL020,COL,English-language sources frequently refer to this region as 'La Guajira Department' or simply 'Guajira'.,pretraining,medium,False
north santander,North Santander,COL024,COL,Norte de Santander is commonly rendered in English as North Santander in academic and geographic references.,pretraining,medium,False
cauca valley,Cauca Valley,COL031,COL,Valle del Cauca translates literally to Cauca Valley in English and appears in English-language geographic texts.,pretraining,medium,False
havana,Havana,CUB008,CUB,"Standard English exonym for La Habana, the province surrounding the Cuban capital.",pretraining,high,False
nicosia,Nicosia,CYP001,CYP,"Nicosia is the standard English exonym for the capital district Lefkosia, widely used in international contexts.",pretraining,high,False
kyrenia,Kyrenia,CYP002,CYP,"Kyrenia is the well-known English name for the district of Keryneia, used in English-language sources and maps.",pretraining,high,False
famagusta,Famagusta,CYP003,CYP,"Famagusta is the standard English exonym for the district of Ammochostos, historically and commonly used in English.",pretraining,high,False
larnaca,Larnaca,CYP004,CYP,"Larnaca is the common English spelling of the district Larnaka, widely used in international travel and media.",pretraining,high,False
limassol,Limassol,CYP005,CYP,"Limassol is the well-established English name for the district of Lemesos, used extensively in English sources.",pretraining,high,False
paphos,Paphos,CYP006,CYP,"Paphos is the standard English exonym for the district of Pafos, used in English texts and by international visitors.",pretraining,high,False
south bohemia,South Bohemia,CZE001,CZE,Common shortened English form of the South Bohemian Region.,pretraining,high,False
south bohemian region,South Bohemian Region,CZE001,CZE,"Jihocesky is the Czech name for the South Bohemian Region, the standard English exonym used in English-language sources.",pretraining,high,False
south moravia,South Moravia,CZE002,CZE,Common shortened English form of the South Moravian Region.,pretraining,high,False
south moravian region,South Moravian Region,CZE002,CZE,"Jihomoravsky is the Czech name for the South Moravian Region, the standard English exonym.",pretraining,high,False
prague,Prague,CZE003,CZE,"Praha is the Czech name for Prague, the universally used English exonym for the Czech capital.",pretraining,high,False
north bohemia,North Bohemia,CZE004,CZE,Common shortened English form of the North Bohemian Region.,pretraining,high,False
north bohemian region,North Bohemian Region,CZE004,CZE,"Severocesky is the Czech name for the North Bohemian Region, the standard English exonym.",pretraining,high,False
north moravia,North Moravia,CZE005,CZE,Common shortened English form of the North Moravian Region.,pretraining,high,False
north moravian region,North Moravian Region,CZE005,CZE,"Severomoravsky is the Czech name for the North Moravian Region, the standard English exonym.",pretraining,high,False
central bohemia,Central Bohemia,CZE006,CZE,Common shortened English form of the Central Bohemian Region.,pretraining,high,False
central bohemian region,Central Bohemian Region,CZE006,CZE,"Stredocesky is the Czech name for the Central Bohemian Region, the standard English exonym.",pretraining,high,False
east bohemia,East Bohemia,CZE007,CZE,Common shortened English form of the East Bohemian Region.,pretraining,high,False
east bohemian region,East Bohemian Region,CZE007,CZE,"Vychodocesky is the Czech name for the East Bohemian Region, the standard English exonym.",pretraining,high,False
west bohemia,West Bohemia,CZE008,CZE,Common shortened English form of the West Bohemian Region.,pretraining,high,False
west bohemian region,West Bohemian Region,CZE008,CZE,"Zapadocesky is the Czech name for the West Bohemian Region, the standard English exonym.",pretraining,high,False
baden-wurttemberg,Baden-Württemberg,DEU001,DEU,The canonical WB name uses 'Wuerttemberg' (ASCII transliteration) while the standard English spelling retains the umlaut form 'Württemberg'.,pretraining,high,False
bavaria,Bavaria,DEU002,DEU,Bayern is the German name for the state; Bavaria is the standard English exonym used in international contexts.,pretraining,high,False
hesse,Hesse,DEU007,DEU,Hessen is the German name; Hesse is the standard English exonym for this German state.,pretraining,high,False
mecklenburg-western pomerania,Mecklenburg-Western Pomerania,DEU008,DEU,Mecklenburg-Vorpommern is the German name; Mecklenburg-Western Pomerania is the standard English translation used in official and international contexts.,pretraining,high,False
lower saxony,Lower Saxony,DEU009,DEU,Niedersachsen is the German name; Lower Saxony is the standard English exonym for this state.,pretraining,high,False
north rhine-westphalia,North Rhine-Westphalia,DEU010,DEU,Nordrhein-Westfalen is the German name; North Rhine-Westphalia is the standard English translation used internationally.,pretraining,high,False
rhineland-palatinate,Rhineland-Palatinate,DEU011,DEU,Rheinland-Pfalz is the German name; Rhineland-Palatinate is the standard English exonym.,pretraining,high,False
saxony,Saxony,DEU013,DEU,Sachsen is the German name; Saxony is the standard English exonym for this state.,pretraining,high,False
saxony-anhalt,Saxony-Anhalt,DEU014,DEU,Sachsen-Anhalt is the German name; Saxony-Anhalt is the standard English translation used in international contexts.,pretraining,high,False
thuringia,Thuringia,DEU016,DEU,Thueringen (Thüringen) is the German name; Thuringia is the standard English exonym for this state.,pretraining,high,False
ali sabieh,Ali Sabieh,DJI001,DJI,"Ali Sabieh is the common English spelling used in many international sources, differing from the WB canonical 'Ali Sabeh'.",pretraining,high,False
dikhil,Dikhil,DJI002,DJI,"Dikhil is a widely used alternative English romanization of the region, differing from the WB canonical 'Dilkhil'.",pretraining,high,False
northern jutland,Northern Jutland,DNK003,DNK,"Region Nordjylland is also commonly referred to in English as 'Northern Jutland', a slight variation on the WB canonical 'North Jutland'.",pretraining,medium,False
national district,National District,DOM005,DOM,Distrito Nacional is the seat of Santo Domingo and is commonly referred to in English as the National District.,pretraining,high,False
el seybo,El Seybo,DOM007,DOM,El Seybo is an alternative spelling of El Seibo used in some official Dominican and English-language sources.,pretraining,medium,False
maria trinidad sanchez,Maria Trinidad Sanchez,DOM015,DOM,"The canonical WB name spells the last word as Sanches, but the correct and widely used spelling in English sources is Sanchez.",pretraining,high,False
hermanas mirabal,Hermanas Mirabal,DOM022,DOM,Salcedo province was renamed Hermanas Mirabal in 2007 in honor of the Mirabal sisters; the new name is now the official name though Salcedo remains widely used.,pretraining,high,False
algiers,Algiers,DZA004,DZA,"Algiers is the standard English exonym for Alger, the capital city and province of Algeria.",pretraining,high,False
