code_a,name_a,iso_a,code_b,name_b,iso_b,lake,border_km,has_bridge,crossing,source
BRA025,Rio Grande Do Sul,BRA,URY019,Treinta Y Tres,URY,Lagoa Mirim,62.1,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD017,Ituri,COD,UGA031,Hoima,UGA,Lake Albert,88.1,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD017,Ituri,COD,UGA020,Buliisa,UGA,Lake Albert,43.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA020,Buliisa,UGA,UGA091,Nebbi,UGA,Lake Albert,11.1,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA031,Hoima,UGA,UGA093,Ntoroko,UGA,Lake Albert,9.7,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD009,Nord-Kivu,COD,UGA101,Rubirizi,UGA,Lake Edward,14.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD009,Nord-Kivu,COD,UGA102,Rukungiri,UGA,Lake Edward,0.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
CAN009,Ontario,CAN,USA036,Ohio,USA,Lake Erie,246.7,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
CAN009,Ontario,CAN,USA039,Pennsylvania,USA,Lake Erie,66.4,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA005,Amolatar,UGA,UGA027,Buyende,UGA,Lake Kyoga,17.2,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA027,Buyende,UGA,UGA039,Kaberamaido,UGA,Lake Kyoga,5.0,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
MOZXXX,Area under National Administration,MOZ,MWI002,Northern Region,MWI,Lake Malawi,79.0,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
USA014,Illinois,USA,USA023,Michigan,USA,Lake Michigan,83.0,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
RUS061,Pskovskaya Oblast,RUS,EST013,Tartu maakond,EST,Lake Peipus; Lake Pskov,67.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
USA023,Michigan,USA,USA024,Minnesota,USA,Lake Superior,87.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD030,Tanganyika,COD,TZA010,Kigoma,TZA,Lake Tanganyika,233.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD030,Tanganyika,COD,TZA024,Rukwa,TZA,Lake Tanganyika,142.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
BDI020,Rumonge,BDI,COD011,Sud-Kivu,COD,Lake Tanganyika,77.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD011,Sud-Kivu,COD,TZA010,Kigoma,TZA,Lake Tanganyika,64.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
COD030,Tanganyika,COD,TZA009,Katavi,TZA,Lake Tanganyika,37.6,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
BDI011,Makamba,BDI,COD011,Sud-Kivu,COD,Lake Tanganyika,22.1,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
BDI002,Mairie de Bujumbura,BDI,COD011,Sud-Kivu,COD,Lake Tanganyika,7.1,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA016,Mara,TZA,TZA021,Mwanza,TZA,Lake Victoria,196.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA026,Buvuma,UGA,UGA075,Mayuge,UGA,Lake Victoria,164.6,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA006,Kagera,TZA,TZA021,Mwanza,TZA,Lake Victoria,124.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA026,Buvuma,UGA,UGA040,Kalangala,UGA,Lake Victoria,94.0,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA006,Kagera,TZA,UGA040,Kalangala,UGA,Lake Victoria,83.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA040,Kalangala,UGA,UGA073,Masaka,UGA,Lake Victoria,78.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA016,Mara,TZA,UGA026,Buvuma,UGA,Lake Victoria,71.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
KEN008,Homa Bay,KEN,KEN038,Siaya,KEN,Lake Victoria,70.4,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA026,Buvuma,UGA,UGA015,Buikwe,UGA,Lake Victoria,61.7,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
KEN008,Homa Bay,KEN,UGA088,Namayingo,UGA,Lake Victoria,51.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA006,Kagera,TZA,TZA016,Mara,TZA,Lake Victoria,51.0,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA040,Kalangala,UGA,UGA084,Mukono,UGA,Lake Victoria,41.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
KEN038,Siaya,KEN,UGA088,Namayingo,UGA,Lake Victoria,35.4,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA016,Mara,TZA,UGA088,Namayingo,UGA,Lake Victoria,30.6,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA040,Kalangala,UGA,UGA109,Wakiso,UGA,Lake Victoria,27.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA040,Kalangala,UGA,UGA082,Mpigi,UGA,Lake Victoria,27.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA026,Buvuma,UGA,UGA084,Mukono,UGA,Lake Victoria,25.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
KEN027,Migori,KEN,UGA088,Namayingo,UGA,Lake Victoria,21.6,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA040,Kalangala,UGA,UGA100,Rakai,UGA,Lake Victoria,20.3,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA016,Mara,TZA,UGA075,Mayuge,UGA,Lake Victoria,15.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
TZA016,Mara,TZA,UGA040,Kalangala,UGA,Lake Victoria,13.8,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
UGA015,Buikwe,UGA,UGA075,Mayuge,UGA,Lake Victoria,3.7,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
GHA004,Eastern,GHA,GHA016,Oti,GHA,Lake Volta,14.3,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
SWE014,Soedermanlands Laen,SWE,SWE016,Uppsala Laen,SWE,Mälaren,35.7,True,Hjulstabron (Riksvag 55),NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
BRA020,Parana,BRA,PRY007,Canindeyu,PRY,Represa Itaipu,85.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
SWE012,Oestergoetlands Laen,SWE,SWE021,Vaestra Goetalands Laen,SWE,Vättern,56.2,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
POL011,Pomorskie,POL,RUS023,Kaliningradskaya Oblast,RUS,Zalew Wislany,0.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
