code_a,name_a,iso_a,code_b,name_b,iso_b,water_type,water_body,border_km,has_bridge,source
VNM013,Can Tho,VNM,VNM020,Dong Thap,VNM,river,Hau River (Sông Hậu / Bassac),6.9,True,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify + adversarial-recheck, geocode-validated"
VNM013,Can Tho,VNM,VNM061,Vinh Long,VNM,river,Hau River (Bassac),9.3,True,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
VNM028,Hau Giang,VNM,VNM061,Vinh Long,VNM,river,"Hau River (Bassac River, southern Mekong distributary)",4.2,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
VNM051,Soc Trang,VNM,VNM059,Tra Vinh,VNM,river,"Hau River (Song Hau / Bassac River, lower Mekong distributary)",8.6,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
VNM051,Soc Trang,VNM,VNM061,Vinh Long,VNM,river,Hau River (Sông Hậu),7.8,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified; bridge: osm-screen + agent-verify (agree), geocode-validated"
VNM058,Tien Giang,VNM,VNM061,Vinh Long,VNM,river,"Tien River (Sông Tiền, a main Mekong distributary)",3.2,True,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
ROU019,Galaţi,ROU,UKR016,Odes'ka,UKR,river,Danube,0.5,False,"rg1 river-gap retirement re-adjudication (2026-07-22): maintainer map ruling - adjacent via Insula Cailor, arc corrected to 0.5 km (overrules dual-AI corner verdict); folded from the retired river-gap overlay"
ROU039,Tulcea,ROU,UKR016,Odes'ka,UKR,river,Danube; Chilia branch,15.25,False,rg1 river-gap retirement re-adjudication (2026-07-22): Codex research (web) + Sonnet-5 adversarial judgment; folded from the retired river-gap overlay (near-miss census + per-pair ground-truth)
ROU013,Caraş-Severin,ROU,SRB001,Borski,SRB,river,Danube; Iron Gates,0.62,False,rg1 river-gap retirement re-adjudication (2026-07-22): Codex research (web) + Sonnet-5 adversarial judgment; folded from the retired river-gap overlay (near-miss census + per-pair ground-truth)
DEU012,Saarland,DEU,LUX002,Grevenmacher,LUX,river,Moselle,6.65,True,rg1 river-gap retirement re-adjudication (2026-07-22): Codex research (web) + Sonnet-5 adversarial judgment; folded from the retired river-gap overlay (near-miss census + per-pair ground-truth)
GUF001,French Guiana,GUF,SUR004,Marowijne,SUR,river,Maroni,3.36,False,rg1 river-gap retirement re-adjudication (2026-07-22): Codex research (web) + Sonnet-5 adversarial judgment; folded from the retired river-gap overlay (near-miss census + per-pair ground-truth)
