code_a,name_a,iso_a,code_b,name_b,iso_b,water_type,water_body,has_bridge,adds_edge,border_km,adjudication,verification_tier,source
CHN017,Jilin Sheng,CHN,PRK011,Yanggang-do,PRK,river,Tumen; Yalu,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (10; yes; 丹阿线; 千年崖城風景區; 长惠国际大桥); crossings: yes; 丹阿线; 千年崖城風景區; 长惠国际大桥; 长白山南坡公路
CMR004,Extrême - Nord,CMR,TCD008,Hadjer-Lamis,TCD,river,Chari,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COD030,Tanganyika,COD,TZA024,Rukwa,TZA,lake,Lake Tanganyika,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ARG007,Corrientes,ARG,BRA025,Rio Grande Do Sul,BRA,river,Ibicuí; Uruguay,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Ponte Internacional Getúlio Vargas-Agustín Pedro Justo; Pont); crossings: Ponte Internacional Getúlio Vargas-Agustín Pedro Justo; Ponte Internacional da Integração; Puente Internacional Getúlio Vargas-Agustín Pedro Justo; yes
CMR004,Extrême - Nord,CMR,TCD004,Chari-Baguirmi,TCD,river,Logone,False,False,,cross-vendor,C,"verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (P 28); GPT-5.6 Sol adversarial recheck yes (P28 Logone border bridge), 128 m from the shared arc; maintainer map ruling 2026-09-16: shipped flag kept"
AGO013,Lunda Sul,AGO,COD024,Lualaba,COD,river,Kasai,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BFA002,Cascades,BFA,CIV033,Savanes,CIV,river,Komoé,True,False,,cross-vendor,C,"verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Chemins de fer Abidjan-Niger; yes); GPT-5.6 Sol adversarial recheck yes (Niangoloko border road bridge), 10 m from the shared arc; maintainer map ruling 2026-09-16: flip accepted (False -> True); crossings: Niangoloko border road bridge"
ETH006,Gambela,ETH,SSD003,Jonglei,SSD,river,Akobo; Pibor; Sobat,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
NER002,Diffa,NER,NGA008,Borno,NGA,river,Komadugu Yobe,True,False,,cross-vendor,C,"recheck2:False:no fixed bridge (Komadugu Yobe); bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Pont Kogui; yes); GPT-5.6 Sol adversarial recheck yes (Pont Kogui), 26 m from the shared arc; maintainer map ruling 2026-09-16: flip accepted (False -> True); crossings: Pont Kogui"
LAO006,Khammouan,LAO,THA027,Nakhon Phanom,THA,river,Mekong,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (สะพานมิตรภาพไทย-ลาว แห่งที่ 3 (นครพนม-คำม่วน)); crossings: สะพานมิตรภาพไทย-ลาว แห่งที่ 3 (นครพนม-คำม่วน)
BEN002,Atacora,BEN,BFA008,Est,BFA,river,Oti,False,False,,cross-vendor,C,verified:open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; GPT-5.6 Sol adversarial recheck no; maintainer map ruling 2026-09-16: flip accepted (True -> False)
AGO008,Cunene,AGO,NAM007,Kunene,NAM,river,Cunene,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COL033,Vichada,COL,VEN003,Apure,VEN,river,Meta; Orinoco,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
CAF004,Haut-Oubangui,CAF,COD027,Nord-Ubangi,COD,river,Bomu; Kotto; Uele,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
CAN009,Ontario,CAN,USA036,Ohio,USA,lake,Lake Erie,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COD017,Ituri,COD,UGA093,Ntoroko,UGA,river,Semliki,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BWA007,Ngamiland,BWA,NAM001,Caprivi,NAM,river,Cuando; Linyanti,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); GPT-5.6 Sol adversarial recheck no
MDA006,Cahul,MDA,ROU019,Galaţi,ROU,river,Prut,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (700; DN26A; Galați Largă - Giurgiulești calea combinată 1435); crossings: bridge; yes
RWA001,East/Iburasirazuba,RWA,TZA006,Kagera,TZA,river,Kagera,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); crossings: yes
ROU027,Maramureş,ROU,UKR023,Zakarpats'ka,UKR,river,Tisza,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (411; Bocicoi – Великий Бичків (1891–1970); Bridge (destroyed); crossings: 411; Bocicoi – Великий Бичків (1891–1970); Bridge (destroyed); Cămara Sighet – Солотвино (1893–1939); Podul Academician Mihai Pop
BFA013,Sud-ouest,BFA,GHA008,Upper West,GHA,river,Mouhoun,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BDI013,Muyinga,BDI,TZA006,Kagera,TZA,river,Kagera,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); crossings: yes
MDA030,Soroca,MDA,UKR021,Vinnyts'ka,UKR,river,Dniester,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
UGA026,Buvuma,UGA,UGA040,Kalangala,UGA,lake,Lake Victoria,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
MOZ010,Tete,MOZ,ZMB105,Lusaka,ZMB,river,Luangwa; Zambezi,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
USA023,Michigan,USA,USA024,Minnesota,USA,lake,Lake Superior,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BRA020,Parana,BRA,PRY007,Canindeyu,PRY,lake,Represa Itaipu,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
USA014,Illinois,USA,USA023,Michigan,USA,lake,Lake Michigan,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ARG007,Corrientes,ARG,URY001,Artigas,URY,river,Uruguay,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ZAF005,Limpopo,ZAF,ZWE009,Matabeleland South,ZWE,river,Limpopo; Umzingwani,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Harare-Beitbridge Highway; N1; New Beitbridge; Original Beit); crossings: Harare-Beitbridge Highway; bridge; yes
TZA016,Mara,TZA,TZA021,Mwanza,TZA,lake,Lake Victoria,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
HUN012,Komarom-esztergom,HUN,SVK004,Nitra,SVK,river,Danube,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Alžbetin most; Barátság híd; Erzsébet híd; Erzsébet híd / Al); crossings: Alžbetin most; Barátság híd; Erzsébet híd; Erzsébet híd / Alžbetin most; Komárňanský železničný most
COD029,Sud-Ubangi,COD,COG007,Likouala,COG,river,Lua; Ubangi,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
MDA008,Cantemir,MDA,ROU041,Vaslui,ROU,river,Prut,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (603; yes); crossings: 603; yes
JOR004,Balqa,JOR,PSE003,Ariha (Jericho),PSE,river,Jordan,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (437; King Abdullah Bridge; stairs to the river; yes; جسر الم); crossings: King Abdullah Bridge; stairs to the river; yes; جسر الملك حسين
COD011,Sud-Kivu,COD,BDI006,Cibitoke,BDI,river,Rusizi,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ROU013,Caraş-Severin,ROU,SRB002,Branicevski,SRB,river,Danube,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ARM002,Ararat,ARM,TUR038,Igdir,TUR,river,Aras,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); GPT-5.6 Sol adversarial recheck no
COD011,Sud-Kivu,COD,TZA010,Kigoma,TZA,lake,Lake Tanganyika,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BRA025,Rio Grande Do Sul,BRA,URY019,Treinta Y Tres,URY,lake,Lagoa Mirim,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
CHN018,Liaoning Sheng,CHN,PRK001,Chagang-do,PRK,river,Yalu; Supung Reservoir,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
RUS042,Leningradskaya Oblast,RUS,EST004,Ida-Viru maakond,EST,river,Narva,True,False,,cross-vendor,C,recheck2:physical-link-border-closed:Narva vehicles closed 2024; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Sõpruse sild / Нарвский мост Дружбы; bridge; yes); crossings: Sõpruse sild / Нарвский мост Дружбы; yes
BGR027,Vidin,BGR,ROU018,Dolj,ROU,river,Danube,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (1; 7; Podul Noua Europă - Мостът „Нова Европа“; yes); crossings: Podul Noua Europă - Мостът „Нова Европа“; yes
SWE012,Oestergoetlands Laen,SWE,SWE021,Vaestra Goetalands Laen,SWE,lake,Vättern,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ARG007,Corrientes,ARG,PRY013,Misiones,PRY,river,Paraná,True,False,,cross-vendor,C,"verified:open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; GPT-5.6 Sol adversarial recheck yes (Yacyretá dam-top international road), 17779 m from the shared arc, 12088 m from the farther unit; off the shared line, flag kept; crossings: (web-verified)"
HRV009,Medimurje,HRV,SVN009,Pomurska,SVN,river,Mur,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (1; 109; D209; Državna meja – Lendava; Pelinska ulica); crossings: 1; Državna meja – Lendava; Pelinska ulica; Petrova ulica; yes
LSO005,Maseru,LSO,ZAF002,Free State,ZAF,river,Caledon,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Maseru Bridge; yes); crossings: Maseru Bridge; yes
POL004,Lubeiskie,POL,UKR022,Volyns'ka,UKR,river,Bug,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (12; 63; 7; 74; Graniczny most kolejowy w Dorohusku); crossings: Graniczny most kolejowy w Dorohusku; LHS; Linia Hutnicza Szerokotorowa; bridge; viaduct
MOZ008,Niassa,MOZ,TZA020,Mtwara,TZA,river,Ruvuma,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COD029,Sud-Ubangi,COD,CAF006,Plateaux,CAF,river,Lobaye; Ubangi; Uele,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
UGA026,Buvuma,UGA,UGA075,Mayuge,UGA,lake,Lake Victoria,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
HUN008,Gyor-moson-sopron,HUN,SVK007,Trnava,SVK,river,Danube,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (13; 14; bridge); crossings: bridge; yes
AZE051,Ordubad,AZE,IRN004,East Azarbayejan,IRN,river,Aras,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (M8; yes; جاده خمارلو - جلفا); GPT-5.6 Sol adversarial recheck no
AFG004,Balkh,AFG,TJK004,Khatlon Province,TJK,river,Amu Darya,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
LAO012,Savannakhét,LAO,THA071,Ubon Ratchathani,THA,river,Mekong,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COD025,Mai-Ndombe,COD,COG009,Plateaux,COG,river,Congo,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
HRV009,Medimurje,HRV,HUN020,Zala,HUN,river,Mur,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (7; D3; DG - Čakovec – Kotoriba - DG; Murakeresztúri vasúti M); crossings: DG - Čakovec – Kotoriba - DG; Murakeresztúri vasúti Mura-híd; Zrinski most; Zrínyi Miklós híd; Zrínyi Miklós híd / Zrinski most
LSO001,Berea,LSO,ZAF002,Free State,ZAF,river,Caledon,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
MDA024,Ocnita,MDA,UKR021,Vinnyts'ka,UKR,river,Dniester,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Podul Prieteniei; Podul Prieteniei – міст Дружба; Podul „Ung); crossings: Podul Prieteniei; Podul Prieteniei – міст Дружба; Podul „Unguri–Bronnița”; Podul „Unguri–Bronnița” / міст «Бронниця–Унгри»; Vălcineț - Могилів-Подільський (Україна)
SWE014,Soedermanlands Laen,SWE,SWE016,Uppsala Laen,SWE,lake,Mälaren,True,False,,cross-vendor,C,"verified:open-bridge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; GPT-5.6 Sol adversarial recheck yes (Hjulstabron), 2859 m from the shared arc, 2859 m from the farther unit; off the shared line, flag kept; crossings: (web-verified)"
MDA019,Glodeni,MDA,ROU007,Botoşani,ROU,river,Prut,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BIH002,Republika Srpska,BIH,SRB020,Sremski,SRB,river,Drina; Sava,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Bijeljina - Šid; Most Evropa; Most u Rači; Бијељина - Шид; М); crossings: Bijeljina - Šid; Most Evropa; Most u Rači; Бијељина - Шид; Мост Европа
RUS061,Pskovskaya Oblast,RUS,EST004,Ida-Viru maakond,EST,lake,Lake Peipus (Chudskoye),False,False,,cross-vendor,A,verified:no-open-bridge; reclassified river->lake (HydroRIVERS full-sweep + human map verification 2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
HRV018,Virovitica-podravina,HRV,HUN002,Baranya,HUN,river,Mur,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); GPT-5.6 Sol adversarial recheck no
ZAF001,Eastern Cape,ZAF,LSO006,Mohale's Hoek,LSO,river,Orange,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
UGA040,Kalangala,UGA,UGA082,Mpigi,UGA,lake,Lake Victoria,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BWA010,Southern,BWA,ZAF007,North West,ZAF,river,Molopo,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (A1; N18; low_water_crossing; yes); crossings: low_water_crossing; yes
UGA026,Buvuma,UGA,UGA084,Mukono,UGA,lake,Lake Victoria,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
AGO014,Malanje,AGO,COD021,Kwango,COD,river,Kwango,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
LAO012,Savannakhét,LAO,THA001,Amnat Charoen,THA,river,Mekong,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
BDI011,Makamba,BDI,COD011,Sud-Kivu,COD,lake,Lake Tanganyika,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
GHA015,Northern East,GHA,TGO002,Kara,TGO,river,Oti,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
IND005,Bihar,IND,NPL001,Lumbini,NPL,river,Gandak,True,False,,cross-vendor,C,recheck2:tripoint-review:tripoint Bihar/Gandaki/Lumbini; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); crossings: yes
IRN001,Ardebil,IRN,AZE012,Beylagan,AZE,river,Aras,False,False,,cross-vendor,C,"verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); GPT-5.6 Sol adversarial recheck yes (Aras service-road bridge), 150 m from the shared arc; maintainer map ruling 2026-09-16: shipped flag kept"
LAO014,Vientiane [prefecture],LAO,THA020,Loei,THA,river,Mekong,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
LAO012,Savannakhét,LAO,THA027,Nakhon Phanom,THA,river,Mekong,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
TZA016,Mara,TZA,UGA075,Mayuge,UGA,lake,Lake Victoria,False,False,,cross-vendor,C,huge-lake/knowledge; wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass); bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
